Date,Time,Open,High,Low,Close,TickVol,Vol,Spread
2025.03.04,20:15:00,2913.92,2915.23,2909.32,2909.98,1669,0,15
2025.03.04,20:30:00,2910.05,2910.17,2908.37,2908.85,1536,0,15
2025.03.04,20:45:00,2908.8,2911.33,2908.31,2911.27,1187,0,11
2025.03.04,21:00:00,2911.22,2915.18,2911.16,2912.4,1726,0,11
2025.03.04,21:15:00,2912.38,2914.37,2911.86,2912.58,1430,0,11
2025.03.04,21:30:00,2912.72,2914.5,2912.65,2914.31,1321,0,12
2025.03.04,21:45:00,2914.3,2916.53,2914.27,2916.14,1235,0,15
2025.03.04,22:00:00,2916.12,2918.71,2915.56,2918.58,1557,0,15
2025.03.04,22:15:00,2918.56,2920.55,2917.85,2918.62,1599,0,15
2025.03.04,22:30:00,2918.61,2918.67,2914.41,2916.32,1915,0,15
2025.03.04,22:45:00,2916.28,2917.8,2914.57,2917.42,1931,0,11
2025.03.04,23:00:00,2918.14,2918.47,2915.39,2915.45,752,0,11
2025.03.04,23:15:00,2915.42,2915.82,2913.31,2915.17,962,0,11
2025.03.04,23:30:00,2915.18,2916.19,2913.96,2916.19,690,0,10
2025.03.04,23:45:00,2916.21,2917.99,2915.5,2917.76,579,0,10
2025.03.05,01:00:00,2917.85,2918.37,2916.5,2917.0,507,0,11
2025.03.05,01:15:00,2916.93,2917.09,2915.55,2916.37,302,0,11
2025.03.05,01:30:00,2916.39,2916.47,2914.7,2915.2,314,0,11
2025.03.05,01:45:00,2915.2,2915.65,2914.33,2914.39,308,0,11
2025.03.05,02:00:00,2914.4,2915.03,2912.25,2914.29,919,0,11
2025.03.05,02:15:00,2914.3,2917.0,2913.86,2916.59,780,0,11
2025.03.05,02:30:00,2916.58,2917.03,2914.35,2914.56,797,0,11
2025.03.05,02:45:00,2914.55,2915.11,2913.7,2914.13,439,0,11
2025.03.05,03:00:00,2914.15,2915.07,2904.54,2908.24,2155,0,11
2025.03.05,03:15:00,2908.27,2910.7,2903.57,2910.69,1617,0,11
2025.03.05,03:30:00,2910.68,2911.44,2908.46,2910.66,1886,0,11
2025.03.05,03:45:00,2910.73,2910.73,2906.77,2907.25,1336,0,11
2025.03.05,04:00:00,2907.24,2911.33,2905.79,2911.22,2003,0,11
2025.03.05,04:15:00,2911.25,2914.59,2907.13,2907.16,1711,0,11
2025.03.05,04:30:00,2907.2,2908.96,2902.21,2907.72,2217,0,11
2025.03.05,04:45:00,2907.64,2908.45,2902.24,2904.57,1363,0,11
2025.03.05,05:00:00,2904.33,2908.89,2903.41,2908.77,1879,0,11
2025.03.05,05:15:00,2908.79,2910.75,2907.97,2910.58,1261,0,11
2025.03.05,05:30:00,2910.62,2911.31,2908.09,2910.82,1055,0,11
2025.03.05,05:45:00,2910.79,2913.55,2908.72,2908.75,1360,0,11
2025.03.05,06:00:00,2908.76,2911.9,2908.59,2911.27,1190,0,11
2025.03.05,06:15:00,2911.33,2912.49,2910.34,2912.05,540,0,11
2025.03.05,06:30:00,2912.03,2912.68,2911.1,2912.22,794,0,11
2025.03.05,06:45:00,2912.21,2912.4,2909.77,2910.5,1169,0,11
2025.03.05,07:00:00,2910.52,2911.75,2910.01,2911.41,987,0,11
2025.03.05,07:15:00,2911.6,2912.95,2910.36,2912.03,1322,0,11
2025.03.05,07:30:00,2912.01,2913.35,2911.24,2913.21,1913,0,11
2025.03.05,07:45:00,2913.25,2918.78,2912.96,2918.7,1385,0,11
2025.03.05,08:00:00,2918.69,2919.64,2917.52,2919.43,1048,0,11
2025.03.05,08:15:00,2919.4,2921.68,2916.85,2918.62,1857,0,11
2025.03.05,08:30:00,2918.54,2919.67,2913.57,2917.65,2049,0,11
2025.03.05,08:45:00,2917.59,2918.02,2915.54,2916.99,1135,0,11
2025.03.05,09:00:00,2917.02,2919.86,2917.02,2917.68,1629,0,11
2025.03.05,09:15:00,2917.64,2918.21,2914.97,2915.83,1795,0,15
2025.03.05,09:30:00,2915.82,2917.66,2914.59,2915.88,1677,0,15
2025.03.05,09:45:00,2915.86,2917.99,2913.12,2917.99,1832,0,15
